AU011858,            ONE,     00,
18700223, 0600,  , TD, 23.0S, 106.3E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18700223, 1200,  , TD, 23.3S, 106.1E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18700223, 1800,  , TD, 23.5S, 105.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18700224, 0000,  , TD, 23.8S, 105.6E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18700224, 0600,  , TD, 24.1S, 105.4E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18700224, 1200,  , TD, 24.4S, 105.2E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18700224, 1800,  , TD, 24.7S, 105.1E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18700225, 0000,  , TD, 25.0S, 104.9E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18700225, 0600,  , TD, 25.3S, 104.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18700225, 1200,  , TD, 25.6S, 104.6E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18700225, 1800,  , TD, 25.8S, 104.5E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18700226, 0000,  , TD, 26.1S, 104.3E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18700226, 0600,  , TD, 26.4S, 104.2E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18700226, 1200,  , TD, 26.7S, 104.1E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18700226, 1800,  , TD, 27.1S, 104.0E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18700227, 0000,  , TD, 27.4S, 103.9E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18700227, 0600,  , TD, 27.7S, 103.9E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18700227, 1200,  , TD, 27.9S, 103.9E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18700227, 1800,  , TD, 28.1S, 103.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18700228, 0000,  , TD, 28.4S, 103.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18700228, 0600,  , TD, 28.7S, 103.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18700228, 1200,  , TD, 29.1S, 103.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18700228, 1800,  , TD, 29.6S, 103.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18700301, 0000,  , TD, 30.1S, 103.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18700301, 0600,  , TD, 30.7S, 103.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
AU021870,            TWO,     00,
18700411, 0600,  , TD, 6.5S, 107.9E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18700411, 1200,  , TD, 6.8S, 107.5E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18700411, 1800,  , TD, 7.0S, 107.0E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18700412, 0000,  , TD, 7.3S, 106.5E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18700412, 0600,  , TD, 7.6S, 106.0E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18700412, 1200,  , TD, 7.9S, 105.4E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18700412, 1800,  , TD, 8.3S, 104.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18700413, 0000,  , TD, 8.7S, 104.1E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18700413, 0600,  , TD, 9.1S, 103.5E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18700413, 1200,  , TD, 9.5S, 102.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18700413, 1800,  , TD, 9.9S, 102.2E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18700414, 0000,  , TD, 10.3S, 101.5E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18700414, 0600,  , TD, 10.8S, 101.0E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18700414, 1200,  , TD, 11.3S, 100.5E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18700414, 1800,  , TD, 11.9S, 100.2E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18700415, 0000,  , TD, 12.4S, 99.9E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18700415, 0600,  , TD, 13.0S, 99.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18700415, 1200,  , TD, 13.6S, 99.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18700415, 1800,  , TD, 14.2S, 99.9E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18700416, 0000,  , TD, 14.7S, 100.1E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18700416, 0600,  , TD, 15.2S, 100.4E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18700416, 1200,  , TD, 15.6S, 100.6E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18700416, 1800,  , TD, 15.9S, 100.9E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18700417, 0000,  , TD, 16.2S, 101.1E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18700417, 0600,  , TD, 16.5S, 101.4E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18700417, 1200,  , TD, 16.8S, 101.7E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18700417, 1800,  , TD, 17.1S, 102.0E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18700418, 0000,  , TD, 17.5S, 102.3E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18700418, 0600,  , TD, 17.8S, 102.6E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18700418, 1200,  , TD, 18.1S, 102.9E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18700418, 1800,  , TD, 18.5S, 103.3E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18700419, 0000,  , TD, 18.8S, 103.6E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18700419, 0600,  , TD, 19.1S, 104.0E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
AU011871,            ONE,     00,
18710221, 0600,  , TD, 10.5S, 94.7E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18710221, 1200,  , TD, 10.7S, 94.3E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18710221, 1800,  , TD, 10.8S, 94.0E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18710222, 0000,  , TD, 11.0S, 93.6E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18710222, 0600,  , TD, 11.2S, 93.1E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18710222, 1200,  , TD, 11.4S, 92.6E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18710222, 1800,  , TD, 11.6S, 92.0E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18710223, 0000,  , TD, 11.8S, 91.4E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18710223, 0600,  , TD, 12.1S, 90.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18710223, 1200,  , TD, 12.4S, 90.2E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18710223, 1800,  , TD, 12.7S, 89.6E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18710224, 0000,  , TD, 13.0S, 89.0E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18710224, 0600,  , TD, 13.3S, 88.5E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18710224, 1200,  , TD, 13.6S, 88.0E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18710224, 1800,  , TD, 13.9S, 87.6E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18710225, 0000,  , TD, 14.1S, 87.2E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18710225, 0600,  , TD, 14.4S, 86.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
AU021871,            TWO,     00,
18710711, 0600,  , TD, 3.7S, 95.2E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18710711, 1200,  , TD, 3.7S, 95.3E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18710711, 1800,  , TD, 3.8S, 95.3E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18710712, 0000,  , TD, 4.0S, 95.2E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18710712, 0600,  , TD, 4.3S, 94.9E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18710712, 1200,  , TD, 4.8S, 94.4E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18710712, 1800,  , TD, 5.5S, 93.7E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18710713, 0000,  , TD, 6.3S, 93.0E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18710713, 0600,  , TD, 7.0S, 92.4E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18710713, 1200,  , TD, 7.5S, 92.0E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18710713, 1800,  , TD, 8.1S, 91.7E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18710714, 0000,  , TD, 8.6S, 91.4E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18710714, 0600,  , TD, 9.3S, 91.3E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18710714, 1200,  , TD, 10.2S, 91.1E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18710714, 1800,  , TD, 11.1S, 91.1E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18710715, 0000,  , TD, 12.1S, 91.1E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18710715, 0600,  , TD, 13.0S, 91.3E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18710715, 1200,  , TD, 13.9S, 91.7E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18710715, 1800,  , TD, 14.7S, 92.1E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18710716, 0000,  , TD, 15.4S, 92.6E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18710716, 0600,  , TD, 16.0S, 93.1E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18710716, 1200,  , TD, 16.5S, 93.5E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18710716, 1800,  , TD, 16.8S, 93.7E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18710717, 0000,  , TD, 17.1S, 93.9E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18710717, 0600,  , TD, 17.4S, 94.1E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
AU011872,            ONE,     00,
18720211, 0600,  , TD, 13.1S, 104.0E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18720211, 1200,  , TD, 13.2S, 103.6E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18720211, 1800,  , TD, 13.4S, 103.2E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18720212, 0000,  , TD, 13.5S, 102.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18720212, 0600,  , TD, 13.7S, 102.4E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18720212, 1200,  , TD, 13.9S, 101.9E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18720212, 1800,  , TD, 14.1S, 101.5E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18720213, 0000,  , TD, 14.3S, 101.0E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18720213, 0600,  , TD, 14.6S, 100.5E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18720213, 1200,  , TD, 14.9S, 100.1E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18720213, 1800,  , TD, 15.1S, 99.6E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18720214, 0000,  , TD, 15.5S, 99.2E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18720214, 0600,  , TD, 15.8S, 98.7E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18720214, 1200,  , TD, 16.2S, 98.1E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18720214, 1800,  , TD, 16.6S, 97.5E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18720215, 0000,  , TD, 17.0S, 96.9E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18720215, 0600,  , TD, 17.4S, 96.4E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18720215, 1200,  , TD, 17.7S, 96.0E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18720215, 1800,  , TD, 18.0S, 95.6E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18720216, 0000,  , TD, 18.3S, 95.4E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18720216, 0600,  , TD, 18.5S, 95.1E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
AU011881,            ONE,     00,
18810421, 0600,  , TD, 4.6S, 89.4E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18810421, 1200,  , TD, 5.1S, 89.2E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18810421, 1800,  , TD, 5.6S, 89.0E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18810422, 0000,  , TD, 6.2S, 88.9E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18810422, 0600,  , TD, 6.8S, 88.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18810422, 1200,  , TD, 7.5S, 88.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18810422, 1800,  , TD, 8.3S, 88.9E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18810423, 0000,  , TD, 9.0S, 89.1E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18810423, 0600,  , TD, 9.6S, 89.3E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18810423, 1200,  , TD, 10.0S, 89.5E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18810423, 1800,  , TD, 10.3S, 89.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18810424, 0000,  , TD, 10.5S, 90.1E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18810424, 0600,  , TD, 10.7S, 90.4E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
AU021881,            TWO,     00,
18810501, 0600,  , TD, 6.2S, 95.6E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18810501, 1200,  , TD, 6.3S, 95.4E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18810501, 1800,  , TD, 6.3S, 95.1E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18810502, 0000,  , TD, 6.4S, 94.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18810502, 0600,  , TD, 6.6S, 94.3E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18810502, 1200,  , TD, 6.8S, 93.7E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18810502, 1800,  , TD, 7.1S, 93.0E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18810503, 0000,  , TD, 7.5S, 92.3E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18810503, 0600,  , TD, 7.9S, 91.7E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18810503, 1200,  , TD, 8.4S, 91.2E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18810503, 1800,  , TD, 9.0S, 90.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18810504, 0000,  , TD, 9.6S, 90.5E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18810504, 0600,  , TD, 10.2S, 90.3E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18810504, 1200,  , TD, 10.8S, 90.2E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18810504, 1800,  , TD, 11.3S, 90.2E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18810505, 0000,  , TD, 11.9S, 90.2E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18810505, 0600,  , TD, 12.5S, 90.4E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18810505, 1200,  , TD, 13.1S, 90.6E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18810505, 1800,  , TD, 13.7S, 90.9E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18810506, 0000,  , TD, 14.4S, 91.3E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18810506, 0600,  , TD, 15.0S, 91.6E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
AU011882,            ONE,     00,
18820421, 0600,  , TD, 6.1S, 93.3E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18820421, 1200,  , TD, 6.6S, 92.9E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18820421, 1800,  , TD, 7.0S, 92.5E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18820422, 0000,  , TD, 7.5S, 92.1E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18820422, 0600,  , TD, 7.9S, 91.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18820422, 1200,  , TD, 8.3S, 91.5E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18820422, 1800,  , TD, 8.8S, 91.3E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18820423, 0000,  , TD, 9.3S, 91.2E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18820423, 0600,  , TD, 9.8S, 91.1E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18820423, 1200,  , TD, 10.5S, 91.1E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18820423, 1800,  , TD, 11.2S, 91.1E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18820424, 0000,  , TD, 11.9S, 91.2E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18820424, 0600,  , TD, 12.5S, 91.3E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18820424, 1200,  , TD, 12.9S, 91.5E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18820424, 1800,  , TD, 13.2S, 91.7E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18820425, 0000,  , TD, 13.4S, 91.9E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18820425, 0600,  , TD, 13.5S, 92.1E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
AU011883,            ONE,     00,
18830211, 0600,  , TD, 8.6S, 87.4E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18830211, 1200,  , TD, 8.6S, 87.3E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18830211, 1800,  , TD, 8.8S, 87.4E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18830212, 0000,  , TD, 9.2S, 87.7E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18830212, 0600,  , TD, 10.0S, 88.4E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18830212, 1200,  , TD, 11.3S, 89.6E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18830212, 1800,  , TD, 12.8S, 91.2E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18830213, 0000,  , TD, 14.4S, 92.7E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18830213, 0600,  , TD, 15.6S, 94.1E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18830213, 1200,  , TD, 16.4S, 95.0E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18830213, 1800,  , TD, 16.7S, 95.6E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18830214, 0000,  , TD, 16.8S, 95.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18830214, 0600,  , TD, 16.8S, 96.0E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
AU021883,            TWO,     00,
18830321, 0600,  , TD, 6.9S, 87.6E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18830321, 1200,  , TD, 7.7S, 88.2E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18830321, 1800,  , TD, 8.5S, 88.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18830322, 0000,  , TD, 9.4S, 89.5E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18830322, 0600,  , TD, 10.4S, 90.2E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18830322, 1200,  , TD, 11.5S, 91.0E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18830322, 1800,  , TD, 12.6S, 91.9E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18830323, 0000,  , TD, 13.6S, 92.6E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18830323, 0600,  , TD, 14.4S, 93.2E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18830323, 1200,  , TD, 14.9S, 93.6E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18830323, 1800,  , TD, 15.2S, 93.7E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18830324, 0000,  , TD, 15.3S, 93.7E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18830324, 0600,  , TD, 15.3S, 93.7E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
AU031883,            THREE,     00,
18831211, 0600,  , TD, 13.4S, 95.3E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18831211, 1200,  , TD, 13.6S, 95.0E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18831211, 1800,  , TD, 13.8S, 94.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18831212, 0000,  , TD, 14.1S, 94.4E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18831212, 0600,  , TD, 14.4S, 93.9E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18831212, 1200,  , TD, 14.8S, 93.3E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18831212, 1800,  , TD, 15.4S, 92.6E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18831213, 0000,  , TD, 16.0S, 91.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
